Total number of categories,Transaction Time,Current Time MS
2,5,1617567135908
3,1,1617567135915
4,1,1617567135917
5,1,1617567135919
6,0,1617567135920
7,1,1617567135922
8,1,1617567135924
9,0,1617567135925
10,1,1617567135927
11,0,1617567135928
12,0,1617567135929
13,0,1617567135930
14,1,1617567135932
15,1,1617567135934
16,0,1617567135935
17,1,1617567135937
18,1,1617567135939
19,1,1617567135940
20,0,1617567135941
21,1,1617567135943
22,0,1617567135944
23,1,1617567135946
24,0,1617567135947
25,1,1617567135949
26,1,1617567135950
27,0,1617567135951
28,0,1617567135952
29,0,1617567135953
30,1,1617567135955
31,1,1617567135956
32,1,1617567135958
33,0,1617567135959
34,1,1617567135961
35,1,1617567135963
36,0,1617567135964
37,1,1617567135966
38,1,1617567135968
39,1,1617567135969
40,1,1617567135971
41,0,1617567135972
42,1,1617567135974
43,1,1617567135976
44,1,1617567135978
45,1,1617567135980
46,1,1617567135982
47,1,1617567135984
48,0,1617567135985
49,1,1617567135987
50,1,1617567135989
51,1,1617567135990
52,1,1617567135992
53,0,1617567135993
54,1,1617567135995
55,1,1617567135997
56,1,1617567135998
57,0,1617567135999
58,1,1617567136001
59,5,1617567136007
60,1,1617567136009
61,1,1617567136011
62,1,1617567136012
63,1,1617567136013
64,4,1617567136018
65,0,1617567136019
66,1,1617567136021
67,1,1617567136022
68,1,1617567136023
69,1,1617567136024
70,1,1617567136025
71,0,1617567136026
72,0,1617567136027
73,0,1617567136028
74,0,1617567136029
75,1,1617567136031
76,1,1617567136032
77,1,1617567136033
78,1,1617567136034
79,1,1617567136035
80,0,1617567136036
81,1,1617567136038
82,1,1617567136039
83,1,1617567136040
84,1,1617567136041
85,1,1617567136042
86,0,1617567136043
87,1,1617567136045
88,0,1617567136046
89,0,1617567136047
90,1,1617567136049
91,1,1617567136050
92,1,1617567136052
93,1,1617567136053
94,0,1617567136054
95,1,1617567136056
96,1,1617567136057
97,1,1617567136059
98,1,1617567136060
99,0,1617567136061
100,1,1617567136063
101,1,1617567136064
102,1,1617567136066
103,1,1617567136067
104,0,1617567136068
105,1,1617567136070
106,1,1617567136071
107,1,1617567136073
108,1,1617567136074
109,1,1617567136076
110,1,1617567136077
111,1,1617567136078
112,0,1617567136079
113,1,1617567136081
114,1,1617567136082
115,1,1617567136084
116,1,1617567136085
117,0,1617567136086
118,1,1617567136088
119,1,1617567136089
120,1,1617567136091
121,1,1617567136093
122,1,1617567136095
123,1,1617567136096
124,1,1617567136098
125,1,1617567136099
126,1,1617567136101
127,1,1617567136103
128,1,1617567136105
129,1,1617567136107
130,1,1617567136109
131,1,1617567136111
132,1,1617567136112
133,1,1617567136114
134,1,1617567136116
135,1,1617567136118
136,1,1617567136119
137,1,1617567136121
138,1,1617567136122
139,1,1617567136123
140,1,1617567136125
141,1,1617567136126
142,1,1617567136127
143,0,1617567136128
144,1,1617567136130
145,1,1617567136131
146,0,1617567136132
147,1,1617567136134
