Total number of categories,Transaction Time,Current Time MS
2,5,1617567117017
3,1,1617567117025
4,0,1617567117027
5,1,1617567117030
6,1,1617567117032
7,0,1617567117034
8,1,1617567117037
9,0,1617567117039
10,0,1617567117041
11,1,1617567117044
12,0,1617567117046
13,1,1617567117049
14,1,1617567117052
15,1,1617567117054
16,1,1617567117056
17,0,1617567117058
18,1,1617567117061
19,0,1617567117063
20,1,1617567117066
21,1,1617567117068
22,1,1617567117070
23,1,1617567117072
24,1,1617567117075
25,1,1617567117077
26,1,1617567117080
27,0,1617567117082
28,0,1617567117085
29,1,1617567117088
30,1,1617567117090
31,1,1617567117092
32,1,1617567117094
33,1,1617567117096
34,1,1617567117098
35,1,1617567117100
36,1,1617567117105
37,0,1617567117108
38,0,1617567117110
39,0,1617567117112
40,0,1617567117114
41,0,1617567117116
42,1,1617567117118
43,0,1617567117120
44,1,1617567117123
45,0,1617567117125
46,0,1617567117127
47,0,1617567117129
48,1,1617567117131
49,0,1617567117132
50,1,1617567117134
51,1,1617567117136
52,0,1617567117137
53,1,1617567117139
54,1,1617567117141
55,0,1617567117142
56,1,1617567117144
57,1,1617567117146
58,0,1617567117147
59,1,1617567117149
60,1,1617567117151
61,0,1617567117153
62,1,1617567117156
63,1,1617567117158
64,1,1617567117161
65,1,1617567117163
66,1,1617567117166
67,0,1617567117168
68,1,1617567117171
69,1,1617567117173
70,1,1617567117175
71,1,1617567117178
72,1,1617567117181
73,1,1617567117184
74,1,1617567117186
75,1,1617567117189
76,0,1617567117191
77,1,1617567117194
78,1,1617567117197
79,1,1617567117200
80,1,1617567117203
81,1,1617567117206
82,1,1617567117210
83,1,1617567117212
84,1,1617567117215
85,1,1617567117220
86,1,1617567117224
87,1,1617567117228
88,1,1617567117231
89,2,1617567117235
90,1,1617567117238
91,1,1617567117241
92,1,1617567117244
93,1,1617567117247
94,0,1617567117249
95,1,1617567117252
96,1,1617567117255
97,0,1617567117257
98,1,1617567117260
99,0,1617567117262
100,1,1617567117265
101,1,1617567117267
102,1,1617567117270
103,1,1617567117272
104,0,1617567117274
105,1,1617567117276
106,0,1617567117278
107,1,1617567117281
108,1,1617567117283
109,1,1617567117285
110,1,1617567117288
111,1,1617567117290
112,0,1617567117292
113,0,1617567117294
114,1,1617567117296
115,0,1617567117298
116,2,1617567117302
117,2,1617567117306
118,2,1617567117310
119,1,1617567117313
120,2,1617567117317
121,2,1617567117320
122,1,1617567117322
123,0,1617567117324
124,1,1617567117327
125,1,1617567117330
126,1,1617567117333
127,1,1617567117336
128,1,1617567117339
129,2,1617567117344
130,1,1617567117350
131,1,1617567117353
132,2,1617567117357
133,1,1617567117360
134,2,1617567117364
135,1,1617567117367
136,1,1617567117370
137,1,1617567117374
138,2,1617567117378
139,2,1617567117382
140,1,1617567117385
141,1,1617567117389
142,1,1617567117392
143,1,1617567117396
144,1,1617567117399
145,1,1617567117402
146,1,1617567117406
147,1,1617567117410
148,1,1617567117413
149,1,1617567117416
150,1,1617567117420
151,0,1617567117423
152,0,1617567117426
153,1,1617567117430
154,1,1617567117433
155,1,1617567117436
156,1,1617567117440
157,1,1617567117444
158,1,1617567117447
159,1,1617567117450
160,1,1617567117453
161,1,1617567117455
162,1,1617567117458
163,1,1617567117460
164,1,1617567117463
165,1,1617567117465
166,1,1617567117468
167,1,1617567117470
168,1,1617567117472
169,1,1617567117474
170,1,1617567117477
171,1,1617567117480
172,1,1617567117483
173,1,1617567117486
174,1,1617567117489
175,1,1617567117492
176,1,1617567117495
177,1,1617567117498
178,1,1617567117501
179,0,1617567117503
180,0,1617567117505
181,1,1617567117507
182,0,1617567117509
183,1,1617567117511
184,1,1617567117513
185,0,1617567117514
186,1,1617567117517
187,1,1617567117519
188,1,1617567117521
189,1,1617567117523
190,1,1617567117525
191,2,1617567117530
192,1,1617567117533
193,2,1617567117537
194,1,1617567117540
195,1,1617567117542
196,0,1617567117543
197,0,1617567117545
198,1,1617567117547
199,0,1617567117548
200,0,1617567117549
201,1,1617567117551
202,1,1617567117552
203,0,1617567117553
204,0,1617567117554
205,1,1617567117556
206,0,1617567117557
207,0,1617567117558
208,1,1617567117560
209,0,1617567117561
210,0,1617567117562
211,0,1617567117563
212,1,1617567117565
213,0,1617567117566
214,0,1617567117567
215,1,1617567117569
216,0,1617567117570
217,0,1617567117571
218,1,1617567117573
219,1,1617567117574
220,0,1617567117575
221,0,1617567117576
222,1,1617567117578
223,1,1617567117579
224,0,1617567117580
225,1,1617567117582
226,0,1617567117583
227,0,1617567117584
228,1,1617567117586
229,1,1617567117587
230,0,1617567117588
231,0,1617567117589
232,1,1617567117591
233,0,1617567117592
234,0,1617567117593
235,0,1617567117594
236,1,1617567117596
237,0,1617567117597
238,0,1617567117598
239,0,1617567117599
240,1,1617567117601
241,0,1617567117602
242,0,1617567117603
243,1,1617567117605
244,1,1617567117606
245,0,1617567117607
246,0,1617567117608
247,1,1617567117610
248,1,1617567117611
249,0,1617567117612
250,1,1617567117614
251,1,1617567117615
252,0,1617567117616
253,1,1617567117618
254,0,1617567117619
255,0,1617567117620
256,1,1617567117622
257,0,1617567117623
258,1,1617567117625
259,1,1617567117626
260,0,1617567117627
261,1,1617567117629
262,1,1617567117630
263,0,1617567117631
264,0,1617567117632
265,0,1617567117634
266,0,1617567117635
267,1,1617567117637
268,1,1617567117638
269,0,1617567117639
270,1,1617567117641
271,1,1617567117643
272,0,1617567117644
273,0,1617567117645
274,1,1617567117647
275,1,1617567117649
276,0,1617567117650
277,1,1617567117652
278,0,1617567117653
279,1,1617567117655
280,0,1617567117656
281,1,1617567117658
282,0,1617567117659
283,1,1617567117661
284,0,1617567117662
285,1,1617567117664
286,1,1617567117666
287,0,1617567117667
288,0,1617567117668
289,1,1617567117670
290,0,1617567117671
291,1,1617567117673
292,0,1617567117674
293,1,1617567117676
294,1,1617567117678
295,1,1617567117679
296,0,1617567117680
297,0,1617567117681
298,1,1617567117683
299,0,1617567117684
300,1,1617567117686
301,1,1617567117688
302,0,1617567117689
303,1,1617567117691
304,0,1617567117692
305,1,1617567117694
306,1,1617567117695
307,0,1617567117696
308,1,1617567117698
309,0,1617567117699
310,0,1617567117700
311,1,1617567117702
312,0,1617567117703
313,1,1617567117705
314,1,1617567117706
315,0,1617567117707
316,0,1617567117708
317,1,1617567117710
318,0,1617567117711
319,0,1617567117712
320,1,1617567117714
321,1,1617567117716
322,1,1617567117718
323,0,1617567117719
324,1,1617567117721
325,0,1617567117722
326,1,1617567117724
327,0,1617567117725
328,0,1617567117726
329,1,1617567117728
330,0,1617567117729
331,0,1617567117730
332,1,1617567117732
333,0,1617567117733
334,1,1617567117735
335,0,1617567117736
336,1,1617567117738
337,0,1617567117739
338,1,1617567117741
339,1,1617567117742
340,0,1617567117743
341,1,1617567117745
342,1,1617567117746
343,0,1617567117747
344,0,1617567117749
345,0,1617567117750
346,1,1617567117752
347,0,1617567117753
348,1,1617567117755
349,0,1617567117756
350,1,1617567117758
351,0,1617567117759
352,0,1617567117761
353,1,1617567117763
354,2,1617567117766
355,1,1617567117768
356,0,1617567117770
357,1,1617567117773
358,0,1617567117774
359,1,1617567117776
360,0,1617567117777
361,1,1617567117779
362,0,1617567117780
363,1,1617567117782
364,0,1617567117783
365,1,1617567117785
366,0,1617567117786
367,0,1617567117787
368,1,1617567117789
369,0,1617567117790
370,1,1617567117792
371,1,1617567117793
372,0,1617567117794
373,1,1617567117796
374,0,1617567117797
375,0,1617567117798
376,1,1617567117800
377,0,1617567117802
378,0,1617567117804
379,1,1617567117806
380,0,1617567117807
381,1,1617567117809
382,0,1617567117810
383,1,1617567117812
384,0,1617567117813
385,1,1617567117815
386,1,1617567117817
387,0,1617567117818
388,1,1617567117820
389,0,1617567117821
390,1,1617567117823
391,0,1617567117824
392,0,1617567117825
393,1,1617567117827
394,0,1617567117828
395,1,1617567117830
396,0,1617567117831
397,0,1617567117837
398,1,1617567117839
399,1,1617567117840
400,0,1617567117841
401,1,1617567117843
402,0,1617567117844
403,1,1617567117846
404,1,1617567117848
405,1,1617567117850
