Total number of projects,Transaction Time,Current Time MS
10000,1.84,9108
9999,1.42,9186
9998,1.32,9252
9997,1.46,9325
9996,0.98,9374
9995,0.96,9422
9994,1.08,9476
9993,0.98,9525
9992,1.0,9575
9991,0.86,9618
9990,0.78,9657
9989,0.68,9691
9988,0.72,9727
9987,0.8,9767
9986,0.72,9803
9985,0.7,9838
9984,0.66,9871
9983,0.68,9905
9982,0.76,9943
9981,0.72,9979
9980,0.72,10015
9979,0.74,10052
9978,0.7,10087
9977,0.66,10120
9976,0.72,10156
9975,0.74,10193
9974,0.66,10226
9973,0.68,10260
9972,0.68,10294
9971,0.72,10330
9970,0.72,10366
9969,0.66,10399
9968,0.66,10432
9967,0.66,10466
9966,0.7,10501
9965,0.64,10533
9964,0.66,10566
9963,0.66,10599
9962,0.64,10631
9961,0.64,10663
9960,0.68,10697
9959,0.7,10732
9958,0.7,10767
9957,0.7,10802
9956,0.72,10838
9955,0.72,10874
9954,0.68,10908
9953,0.74,10945
9952,0.68,10979
