Total number of projects,Transaction Time,Current Time MS
2,5,1617584675648
3,1,1617584675660
4,1,1617584675661
5,1,1617584675662
6,0,1617584675663
7,1,1617584675663
8,1,1617584675664
9,1,1617584675665
10,0,1617584675666
11,1,1617584675666
12,1,1617584675667
13,1,1617584675668
14,0,1617584675669
15,1,1617584675669
16,1,1617584675670
17,0,1617584675671
18,1,1617584675671
19,1,1617584675672
20,0,1617584675673
21,1,1617584675673
22,0,1617584675674
23,1,1617584675674
24,1,1617584675675
25,1,1617584675676
26,0,1617584675677
27,1,1617584675677
28,1,1617584675678
29,0,1617584675679
30,1,1617584675679
31,0,1617584675680
32,1,1617584675680
33,0,1617584675681
34,1,1617584675681
35,1,1617584675682
36,0,1617584675683
37,1,1617584675683
38,1,1617584675684
39,0,1617584675685
40,1,1617584675685
41,1,1617584675686
42,0,1617584675687
43,1,1617584675687
44,0,1617584675688
45,1,1617584675688
46,0,1617584675689
47,1,1617584675689
48,1,1617584675690
49,0,1617584675691
50,1,1617584675691
51,1,1617584675692
52,1,1617584675693
53,0,1617584675694
54,1,1617584675694
55,1,1617584675695
56,1,1617584675696
57,1,1617584675697
58,0,1617584675698
59,1,1617584675698
60,1,1617584675699
61,0,1617584675700
62,1,1617584675700
63,0,1617584675701
64,1,1617584675701
65,1,1617584675702
66,0,1617584675703
67,1,1617584675703
68,0,1617584675704
69,1,1617584675704
70,1,1617584675705
71,1,1617584675706
72,0,1617584675707
73,1,1617584675707
74,1,1617584675708
75,0,1617584675709
76,1,1617584675709
77,0,1617584675710
78,1,1617584675710
79,1,1617584675711
80,0,1617584675712
81,1,1617584675712
82,0,1617584675713
83,1,1617584675713
84,1,1617584675714
85,1,1617584675715
86,0,1617584675716
87,1,1617584675716
88,1,1617584675717
89,0,1617584675718
90,1,1617584675718
91,0,1617584675719
92,1,1617584675719
93,0,1617584675720
94,0,1617584675721
95,1,1617584675721
96,0,1617584675722
97,1,1617584675722
98,0,1617584675723
99,1,1617584675723
100,1,1617584675724
101,1,1617584675725
102,0,1617584675726
103,1,1617584675726
104,1,1617584675727
105,1,1617584675728
106,1,1617584675729
107,1,1617584675730
108,0,1617584675731
109,1,1617584675731
110,1,1617584675732
111,0,1617584675733
112,1,1617584675733
113,0,1617584675734
114,1,1617584675734
115,1,1617584675735
116,1,1617584675736
117,0,1617584675737
118,1,1617584675737
119,1,1617584675738
120,0,1617584675739
121,1,1617584675739
122,0,1617584675740
123,1,1617584675740
124,0,1617584675741
125,1,1617584675741
126,0,1617584675742
127,1,1617584675742
128,1,1617584675743
129,0,1617584675744
130,1,1617584675744
131,0,1617584675745
132,4,1617584675745
133,2,1617584675749
134,1,1617584675751
135,1,1617584675752
136,0,1617584675753
137,1,1617584675753
138,1,1617584675754
139,1,1617584675755
140,0,1617584675756
141,1,1617584675756
142,1,1617584675757
143,0,1617584675758
144,1,1617584675758
145,1,1617584675759
146,0,1617584675760
147,1,1617584675760
148,0,1617584675761
149,1,1617584675761
150,0,1617584675762
151,1,1617584675762
152,0,1617584675763
153,1,1617584675763
154,1,1617584675764
155,0,1617584675765
156,1,1617584675765
157,1,1617584675766
158,0,1617584675767
159,1,1617584675767
160,0,1617584675768
161,1,1617584675768
