Total number of projects,Transaction Time,Current Time MS
0,4,1617584328305
1,4,1617584328317
2,4,1617584328321
3,3,1617584328325
4,4,1617584328328
5,4,1617584328332
6,3,1617584328336
7,5,1617584328339
8,3,1617584328344
9,4,1617584328347
10,3,1617584328351
11,4,1617584328354
12,4,1617584328358
13,3,1617584328362
14,3,1617584328365
15,4,1617584328368
16,3,1617584328372
17,4,1617584328375
18,3,1617584328379
19,3,1617584328382
20,4,1617584328385
21,4,1617584328389
22,3,1617584328393
23,4,1617584328396
24,3,1617584328400
25,3,1617584328403
26,4,1617584328406
27,4,1617584328410
28,3,1617584328414
29,3,1617584328417
30,3,1617584328420
31,3,1617584328423
32,3,1617584328426
33,3,1617584328429
34,4,1617584328432
35,3,1617584328436
36,4,1617584328439
37,5,1617584328443
38,3,1617584328448
39,4,1617584328451
40,3,1617584328455
41,4,1617584328458
42,3,1617584328462
43,3,1617584328465
44,4,1617584328468
45,3,1617584328472
46,4,1617584328475
47,3,1617584328479
48,4,1617584328482
49,3,1617584328486
50,4,1617584328489
51,3,1617584328493
52,5,1617584328496
53,3,1617584328501
54,4,1617584328504
55,4,1617584328508
56,4,1617584328512
57,4,1617584328516
58,3,1617584328520
59,4,1617584328523
60,4,1617584328527
61,5,1617584328531
62,4,1617584328536
63,4,1617584328540
64,4,1617584328544
65,4,1617584328548
66,4,1617584328552
67,5,1617584328556
68,4,1617584328561
69,4,1617584328565
70,4,1617584328569
71,3,1617584328573
72,5,1617584328576
73,3,1617584328581
74,5,1617584328584
75,6,1617584328589
76,4,1617584328595
77,5,1617584328599
78,5,1617584328604
79,6,1617584328609
80,5,1617584328615
81,4,1617584328620
82,4,1617584328625
83,4,1617584328629
84,4,1617584328633
85,6,1617584328637
86,5,1617584328643
87,5,1617584328648
88,3,1617584328653
89,4,1617584328656
90,4,1617584328660
91,4,1617584328664
92,4,1617584328668
93,4,1617584328672
94,4,1617584328676
95,4,1617584328680
96,3,1617584328684
97,4,1617584328687
98,4,1617584328691
99,3,1617584328695
100,5,1617584328698
101,3,1617584328703
102,4,1617584328706
103,4,1617584328710
104,3,1617584328714
105,4,1617584328717
106,3,1617584328721
107,4,1617584328724
108,5,1617584328728
109,4,1617584328733
110,4,1617584328737
111,4,1617584328741
112,3,1617584328745
113,3,1617584328748
114,3,1617584328752
115,2,1617584328755
116,3,1617584328758
117,3,1617584328761
118,3,1617584328764
119,4,1617584328767
120,3,1617584328771
121,6,1617584328774
122,5,1617584328780
123,3,1617584328785
124,3,1617584328788
125,3,1617584328791
126,3,1617584328795
127,3,1617584328798
128,3,1617584328801
129,3,1617584328804
130,3,1617584328807
131,3,1617584328810
132,4,1617584328813
133,3,1617584328817
134,3,1617584328820
135,3,1617584328823
136,3,1617584328826
137,3,1617584328829
138,3,1617584328832
139,4,1617584328835
140,3,1617584328839
141,3,1617584328842
142,2,1617584328845
143,4,1617584328847
144,3,1617584328851
145,3,1617584328854
146,3,1617584328857
147,3,1617584328860
148,3,1617584328863
149,3,1617584328866
150,4,1617584328869
151,3,1617584328873
152,3,1617584328876
153,3,1617584328879
154,3,1617584328882
155,3,1617584328885
156,3,1617584328888
157,4,1617584328891
158,3,1617584328895
159,3,1617584328898
160,3,1617584328901
161,3,1617584328904
162,3,1617584328907
163,3,1617584328910
164,4,1617584328913
165,3,1617584328917
166,3,1617584328920
167,3,1617584328923
168,3,1617584328926
169,3,1617584328929
170,4,1617584328932
171,3,1617584328936
172,3,1617584328939
173,3,1617584328942
174,3,1617584328945
175,3,1617584328948
176,3,1617584328951
177,3,1617584328954
178,3,1617584328957
179,3,1617584328960
180,3,1617584328963
181,3,1617584328966
182,3,1617584328969
183,3,1617584328972
184,4,1617584328975
185,3,1617584328979
186,3,1617584328982
187,3,1617584328985
188,3,1617584328988
