Total number of projects,Transaction Time,Current Time MS
51,3.38,178
101,1.96,290
151,2.06,399
201,2.18,515
251,1.72,609
301,1.48,689
351,1.62,775
401,1.5,855
451,1.38,929
501,1.42,1012
551,1.34,1085
601,1.18,1147
651,1.12,1207
701,1.04,1264
751,1.1,1324
801,1.2,1396
851,1.1,1457
901,1.08,1516
951,1.2,1581
1001,0.98,1635
1051,1.08,1695
1101,1.16,1760
1151,1.08,1820
1201,1.18,1886
1251,0.92,1938
1301,1.0,1995
1351,1.12,2058
1401,1.4,2139
1451,1.38,2215
1501,1.06,2276
1551,1.16,2342
1601,1.0,2400
1651,0.92,2455
1701,1.0,2514
1751,0.88,2568
1801,0.88,2622
1851,0.86,2675
1901,0.92,2729
1951,0.86,2781
2001,0.98,2839
2051,1.08,2911
2101,1.0,2969
2151,0.86,3022
2201,0.74,3069
2251,0.8,3117
2301,0.92,3174
2351,0.88,3228
2401,0.86,3280
2451,0.74,3326
2501,0.7,3370
2551,0.8,3419
2601,1.06,3482
2651,0.84,3534
2701,0.92,3591
2751,0.72,3637
2801,0.78,3686
2851,0.82,3737
2901,0.8,3786
2951,0.7,3835
3001,0.72,3881
3051,0.74,3929
3101,0.76,3981
3151,0.98,4043
3201,0.68,4092
3251,0.62,4135
3301,0.62,4178
3351,0.6,4219
3401,0.62,4263
3451,0.68,4310
3501,0.8,4367
3551,0.68,4413
3601,0.62,4457
3651,0.74,4510
3701,0.68,4557
3751,0.84,4612
3801,0.74,4663
3851,0.72,4712
3901,0.7,4762
3951,0.68,4809
4001,0.64,4857
4051,0.88,4921
4101,0.6,4965
4151,0.7,5014
4201,0.66,5061
4251,0.72,5112
4301,0.6,5156
4351,0.54,5198
4401,0.54,5241
4451,0.56,5283
4501,0.56,5325
4551,0.58,5369
4601,0.7,5419
4651,0.58,5464
4701,0.58,5508
4751,0.58,5552
4801,0.6,5602
4851,0.68,5652
4901,0.5,5693
4951,0.48,5741
5001,0.54,5787
5051,0.58,5834
5101,0.64,5883
5151,0.56,5928
5201,0.56,5973
5251,0.58,6019
5301,0.78,6080
5351,0.6,6133
5401,0.68,6185
5451,0.74,6242
5501,0.68,6300
5551,0.72,6356
5601,0.52,6402
5651,0.54,6449
5701,0.56,6497
5751,0.52,6542
5801,0.6,6592
5851,0.52,6637
5901,0.58,6686
5951,0.6,6736
6001,0.62,6788
6051,0.54,6843
6101,0.68,6898
6151,0.64,6953
6201,0.66,7008
6251,0.48,7052
6301,0.56,7102
6351,0.52,7150
6401,0.48,7197
6451,0.56,7247
6501,0.56,7298
6551,0.66,7354
6601,0.58,7404
6651,0.52,7462
6701,0.54,7515
6751,0.62,7568
6801,0.5,7622
6851,0.52,7672
6901,0.44,7716
6951,0.44,7760
7001,0.44,7804
7051,0.44,7849
7101,0.46,7895
7151,0.46,7949
7201,0.56,8000
7251,0.58,8052
7301,0.58,8104
7351,0.6,8159
7401,0.94,8233
7451,0.64,8298
7501,0.68,8361
7551,0.54,8420
7601,0.62,8478
7651,0.56,8531
7701,0.58,8587
7751,0.92,8673
7801,0.58,8730
7851,0.44,8778
7901,0.44,8826
7951,0.46,8878
8001,0.44,8925
8051,0.44,8972
8101,0.46,9020
8151,0.42,9072
8201,0.46,9121
8251,0.42,9167
8301,0.48,9217
8351,0.42,9264
8401,0.44,9312
8451,0.44,9360
8501,0.54,9413
8551,0.42,9461
8601,0.4,9509
8651,0.48,9562
8701,0.42,9610
8751,0.48,9661
8801,0.44,9711
8851,0.42,9760
8901,0.44,9821
8951,0.72,9886
9001,0.44,9941
9051,0.38,9988
9101,0.38,10037
9151,0.4,10085
9201,0.38,10134
9251,0.42,10183
9301,0.42,10234
9351,0.46,10286
9401,0.42,10336
9451,0.42,10390
9501,0.56,10457
9551,0.52,10513
9601,0.38,10561
9651,0.4,10611
9701,0.4,10661
9751,0.44,10713
9801,0.42,10764
9851,0.42,10815
9901,0.64,10890
9951,0.66,10960
